baseNode,RUN01,,,,,,,,,,,,,,,
Root node,,,,,,,,,,,,,,,,
Root info,,,,,,,,,,,,,,,,
Run name,RUN01,,,,,,,,,,,,,,,
runInfo,,,,,,,,,,,,,,,,
Script info,,,,,,,,,,,,,,,,
Script name,RUN01,,,,,,,,,,,,,,,
scriptNode,RUN01,,,,,,,,,,,,,,,
Tree,bda,,,,,,,,,,,,,,,
Run info,,,,,,,,,,,,,,,,
,,,,Data,,,Time,,,Dimension 1,,,Dimension 2,,,
Node,Node,Node,Data node,Node type,Data,Unit,Description,Data,Unit,Description,Data,Unit,Description,Data,Unit,Description
PROFILES,R_MIDPLANE,,ZI,SIGNAL,data['PROFILES']['R_MIDPLANE']['ZI'],dimensionless,Average charge of main ion,,,,,,,,,
PROFILES,R_MIDPLANE,,ZIM1,SIGNAL,data['PROFILES']['R_MIDPLANE']['ZIM1'],dimensionless,Average charge of impurity IMP1,,,,,,,,,
PROFILES,R_MIDPLANE,,ZIM1_ERR,SIGNAL,data['PROFILES']['R_MIDPLANE']['ZIM1_ERR'],dimensionless,Average charge of impurity IMP1 error,,,,,,,,,
PROFILES,R_MIDPLANE,,ZIM2,SIGNAL,data['PROFILES']['R_MIDPLANE']['ZIM2'],dimensionless,Average charge of impurity IMP2,,,,,,,,,
PROFILES,R_MIDPLANE,,ZIM2_ERR,SIGNAL,data['PROFILES']['R_MIDPLANE']['ZIM2_ERR'],dimensionless,Average charge of impurity IMP2 error,,,,,,,,,
PROFILES,R_MIDPLANE,,ZIM3,SIGNAL,data['PROFILES']['R_MIDPLANE']['ZIM3'],dimensionless,Average charge of impurity IMP3,,,,,,,,,
PROFILES,R_MIDPLANE,,ZIM3_ERR,SIGNAL,data['PROFILES']['R_MIDPLANE']['ZIM3_ERR'],dimensionless,Average charge of impurity IMP3 error,,,,,,,,,
PROFILES,R_MIDPLANE,,ZI_ERR,SIGNAL,data['PROFILES']['R_MIDPLANE']['ZI_ERR'],dimensionless,Average charge of main ion error,,,,,,,,,
PROFILES,R_MIDPLANE,,ZPOS,NUMERIC,data['PROFILES']['R_MIDPLANE']['ZPOS'],meter,Z position of measurement,,,,,,,,,
PROFILE_STAT,,,,STRUCTURE,,,,,,,,,,,,
PROFILE_STAT,,,NE,SIGNAL,data['PROFILE_STAT']['NE'],1 / meter ** 3,Electron density,,,,,,,,,
