sample_idx,pulse,t_s,timepoint_index,n_timepoints_for_pulse
533,11807,0.11645207554101944,5,8
534,11807,0.131130188703537,6,8
535,11807,0.14852645993232727,7,8
536,12104,0.041974250227212906,0,8
537,12104,0.059370528906583786,1,8
538,12104,0.07513590902090073,2,8
539,12104,0.08981402218341827,3,8
540,12104,0.10286123305559158,4,8
541,12104,0.11753933876752853,5,8
542,12104,0.13058654963970184,6,8
543,12104,0.14961373805999756,7,8
544,12124,0.041974250227212906,0,8
545,12124,0.059370528906583786,1,8
546,12124,0.07676681131124496,2,8
547,12124,0.08981402218341827,3,8
548,12124,0.10449212789535522,4,8
549,12124,0.11753933876752853,5,8
550,12124,0.13058654963970184,6,8
551,12124,0.14961373805999756,7,8
552,12135,0.04034334793686867,0,8
553,12135,0.05556509271264076,1,8
554,12135,0.0713304728269577,2,8
555,12135,0.08709584921598434,3,8
556,12135,0.10286123305559158,4,8
557,12135,0.11808297783136368,5,8
558,12135,0.13384835422039032,6,8
559,12135,0.14961373805999756,7,8
560,12157,0.04050000011920929,0,8
561,12157,0.0560000017285347,1,8
562,12157,0.07150000333786011,2,8
563,12157,0.08699999749660492,3,8
564,12157,0.10249999910593033,4,8
565,12157,0.11800000071525574,5,8
566,12157,0.13349999487400055,6,8
567,12157,0.14949999749660492,7,8
568,12158,0.04034334793686867,0,8
569,12158,0.05556509271264076,1,8
570,12158,0.0713304728269577,2,8
571,12158,0.08709584921598434,3,8
572,12158,0.10231759399175644,4,8
573,12158,0.11808297783136368,5,8
574,12158,0.13384835422039032,6,8
575,12158,0.14961373805999756,7,8
576,12159,0.04034334793686867,0,8
577,12159,0.05556509271264076,1,8
578,12159,0.07187410444021225,2,8
579,12159,0.08709584921598434,3,8
580,12159,0.10286123305559158,4,8
581,12159,0.11808297783136368,5,8
582,12159,0.13384835422039032,6,8
583,12159,0.14961373805999756,7,8
584,12195,0.04034334793686867,0,8
585,12195,0.05556509271264076,1,8
586,12195,0.0724177360534668,2,8
587,12195,0.08818311989307404,3,8
588,12195,0.10340486466884613,4,8
589,12195,0.11862660944461823,5,8
590,12195,0.13384835422039032,6,8
591,12195,0.14961373805999756,7,8
592,12196,0.04034334793686867,0,8
593,12196,0.05556509271264076,1,8
594,12196,0.0713304728269577,2,8
595,12196,0.08709584921598434,3,8
596,12196,0.10231759399175644,4,8
597,12196,0.11808297783136368,5,8
598,12196,0.13384835422039032,6,8
599,12196,0.14961373805999756,7,8
600,12198,0.04034334793686867,0,8
601,12198,0.05556509271264076,1,8
602,12198,0.0713304728269577,2,8
603,12198,0.08709584921598434,3,8
604,12198,0.10286123305559158,4,8
605,12198,0.11808297783136368,5,8
606,12198,0.13384835422039032,6,8
607,12198,0.14961373805999756,7,8
608,12218,0.04034334793686867,0,8
609,12218,0.05556509271264076,1,8
610,12218,0.07187410444021225,2,8
611,12218,0.08763948827981949,3,8
612,12218,0.10286123305559158,4,8
613,12218,0.11862660944461823,5,8
614,12218,0.13384835422039032,6,8
615,12218,0.14961373805999756,7,8
616,12235,0.04034334793686867,0,8
617,12235,0.05556509271264076,1,8
618,12235,0.0713304728269577,2,8
619,12235,0.08709584921598434,3,8
620,12235,0.10231759399175644,4,8
621,12235,0.11808297783136368,5,8
622,12235,0.13384835422039032,6,8
623,12235,0.14961373805999756,7,8
624,12236,0.04034334793686867,0,8
625,12236,0.05556509271264076,1,8
626,12236,0.0713304728269577,2,8
627,12236,0.08709584921598434,3,8
628,12236,0.10231759399175644,4,8
629,12236,0.11808297783136368,5,8
630,12236,0.13384835422039032,6,8
631,12236,0.14961373805999756,7,8
632,12238,0.04034334793686867,0,8
633,12238,0.05556509271264076,1,8
634,12238,0.0713304728269577,2,8
635,12238,0.08709584921598434,3,8
636,12238,0.10231759399175644,4,8
637,12238,0.11808297783136368,5,8
638,12238,0.13384835422039032,6,8
639,12238,0.14961373805999756,7,8
640,12240,0.04034334793686867,0,8
641,12240,0.05556509271264076,1,8
642,12240,0.0713304728269577,2,8
643,12240,0.08709584921598434,3,8
644,12240,0.10231759399175644,4,8
645,12240,0.11808297783136368,5,8
646,12240,0.13384835422039032,6,8
647,12240,0.14961373805999756,7,8
648,12262,0.04034334793686867,0,8
649,12262,0.052303291857242584,1,8
650,12262,0.0642632320523262,2,8
651,12262,0.07676681131124496,3,8
652,12262,0.08981402218341827,4,8
653,12262,0.10177396237850189,5,8
654,12262,0.11373390257358551,6,8
655,12262,0.12841202318668365,7,8
656,12263,0.04034334793686867,0,8
